,zip,latitude,longitude,city,state,county,name
0,35111,33.2997,-87.0489,Mc Calla,AL,Jefferson,Gestamp
1,16801,40.8819,-77.8678,State College,PA,Centre,10101855 - Penn State East Halls Phase 1A
2,63117,38.6295,-90.3342,Saint Louis,MO,Saint Louis,First Community CU
3,23219,37.5417,-77.4392,Richmond,VA,Richmond City,Gateway Plaza
4,48103,42.2666,-83.84899999999999,Ann Arbor,MI,Washtenaw,618 S. Main Street
5,63114,38.7023,-90.3644,Saint Louis,MO,Saint Louis,017-VDC-BIM360_FIELD_TRAINING
6,63134,38.7435,-90.3409,Saint Louis,MO,Saint Louis,10102537-MHS Hangar Facility
7,61820,40.1018,-88.1972,Champaign,IL,Champaign,State Farm Center
8,60045,42.24,-87.8776,Lake Forest,IL,Lake,606-03533-Horizon_Pharma
9,63114,38.7023,-90.3644,Saint Louis,MO,Saint Louis,UCM Campus West Garage
10,63110,38.6254,-90.2681,Saint Louis,MO,Saint Louis City,Wash U 4515 Mckinley Research Building
11,63112,38.6639,-90.2818,Saint Louis,MO,Saint Louis City,6105 Delmar Apartments
12,63110,38.6254,-90.2681,Saint Louis,MO,Saint Louis City,WUSM Mid Campus Center (MCC)
13,63130,38.6669,-90.3225,Saint Louis,MO,Saint Louis,10102684-Centene_Campus
14,12010,42.9063,-74.229,Amsterdam,NY,Montgomery,10102389 - Dollar General NY
15,63110,38.6254,-90.2681,Saint Louis,MO,Saint Louis City,WUSM EH&S Building 
16,18706,41.2313,-75.8961,Wilkes Barre,PA,Luzerne,10102881_Hanover Building 1
17,29369,34.9701,-82.0273,Moore,SC,Spartanburg,SC Project (Toray)
18,63014,38.6327,-91.3214,Berger,MO,Franklin,RGA
19,44128,41.4394,-81.5339,Cleveland,OH,Cuyahoga,10103191-Project Goliath
20,63131,38.6171,-90.4504,Saint Louis,MO,Saint Louis,BJC MBMC MOB
21,63043,38.7239,-90.4474,Maryland Heights,MO,Saint Louis,World Wide Technology
22,63134,38.7435,-90.3409,Saint Louis,MO,Saint Louis,Express Scripts 6 - Tenant Finish 
23,53548,42.6843,-89.0752,Janesville,WI,Rock,10102365_Dollar General Janesville_Field1.0
24,98848,47.1822,-119.75399999999999,Quincy,WA,Grant,10103668 - MWH04 05 Field 1.0
25,60410,41.4331,-88.1992,Channahon,IL,Will,10102992-Project_Crossroads
26,37321,35.5564,-84.9792,Dayton,TN,Rhea,10103436 - Project Dayton Field1.0
27,63114,38.7023,-90.3644,Saint Louis,MO,Saint Louis,308 E Green Street
28,60069,42.3091,-87.9872,Lincolnshire,IL,Lake,3M DK6 - Project Black Bear
29,63017,38.6491,-90.5357,Chesterfield,MO,Saint Louis,Mercy - Virtual Care Center
30,60449,41.4123,-87.7866,Monee,IL,Will,Project B_Monee MDW7
31,61820,40.1018,-88.1972,Champaign,IL,Champaign,10102939 - Memorial Stadium JV
32,65804,37.1514,-93.238,Springfield,MO,Greene,00000_Mercy_Hospital_Springfield_Pharmacy
33,60601,41.8119,-87.6872,Chicago,IL,Cook,Clacyo 15th Floor
34,63114,38.7023,-90.3644,Saint Louis,MO,Saint Louis,Clayco_St. Louis Office
35,60612,41.8119,-87.6872,Chicago,IL,Cook,10102045_Central Campus Health Center
36,30263,33.3696,-84.8194,Newnan,GA,Coweta,10104980 - Bridgeport Amazon TI
37,25442,39.3716,-77.8229,Shenandoah Junction,WV,Jefferson,10103177 - Rockwool Ran5
38,63132,38.6746,-90.3747,Saint Louis,MO,Saint Louis,10104560 - EDGE @ BRDG
39,30529,34.1697,-83.5707,Commerce,GA,Jackson,10104563 - SKBA  Phase 1
