,zip,latitude,longitude,city,state,county,name,Weather_Stations,Start_date,End_date
0,35111,33.2997,-87.0489,Mc Calla,AL,Jefferson,Gestamp,KEKY0,2016-08-01,2016-12-30
1,16801,40.8819,-77.8678,State College,PA,Centre,10101855 - Penn State East Halls Phase 1A,KUNV0,2016-01-01,2017-08-14
2,63117,38.6295,-90.3342,Saint Louis,MO,Saint Louis,First Community CU,KCPS0,2013-05-01,2015-01-01
3,23219,37.5417,-77.4392,Richmond,VA,Richmond City,Gateway Plaza,72401,2013-07-01,2015-01-01
4,48103,42.2666,-83.849,Ann Arbor,MI,Washtenaw,618 S. Main Street,KARB0,2013-05-01,2015-01-01
5,63114,38.7023,-90.3644,Saint Louis,MO,Saint Louis,017-VDC-BIM360_FIELD_TRAINING,KCPS0,2017-03-15,2027-03-15
6,63134,38.7435,-90.3409,Saint Louis,MO,Saint Louis,10102537-MHS Hangar Facility,KSET0,2017-07-18,2018-05-18
7,61820,40.1018,-88.1972,Champaign,IL,Champaign,State Farm Center,KCMI0,2013-11-01,2015-01-01
8,60045,42.24,-87.8776,Lake Forest,IL,Lake,606-03533-Horizon_Pharma,KPWK0,2019-05-07,2020-05-07
9,63114,38.7023,-90.3644,Saint Louis,MO,Saint Louis,UCM Campus West Garage,KCPS0,2012-02-20,2015-01-01
10,63110,38.6254,-90.2681,Saint Louis,MO,Saint Louis City,Wash U 4515 Mckinley Research Building,KCPS0,2013-06-01,2015-01-01
11,63112,38.6639,-90.2818,Saint Louis,MO,Saint Louis City,6105 Delmar Apartments,KCPS0,2016-03-31,2017-07-15
12,63110,38.6254,-90.2681,Saint Louis,MO,Saint Louis City,WUSM Mid Campus Center (MCC),KCPS0,2015-05-01,2015-01-01
13,63130,38.6669,-90.3225,Saint Louis,MO,Saint Louis,10102684-Centene_Campus,KCPS0,2016-03-01,2018-03-01
14,12010,42.9063,-74.229,Amsterdam,NY,Montgomery,10102389 - Dollar General NY,KNY00,2017-04-03,2018-07-02
15,63110,38.6254,-90.2681,Saint Louis,MO,Saint Louis City,WUSM EH&S Building ,KCPS0,2014-05-05,2015-01-01
16,18706,41.2313,-75.8961,Wilkes Barre,PA,Luzerne,10102881_Hanover Building 1,KHZL0,2016-10-15,2017-05-15
17,29369,34.9701,-82.0273,Moore,SC,Spartanburg,SC Project (Toray),KSPA0,2015-08-10,2015-01-01
18,63014,38.6327,-91.3214,Berger,MO,Franklin,RGA,KFYG0,2013-02-15,2015-01-01
19,44128,41.4394,-81.5339,Cleveland,OH,Cuyahoga,10103191-Project Goliath,KCGF0,2017-08-21,2018-08-21
20,63131,38.6171,-90.4504,Saint Louis,MO,Saint Louis,BJC MBMC MOB,KSUS0,2012-05-01,2015-01-01
21,63043,38.7239,-90.4474,Maryland Heights,MO,Saint Louis,World Wide Technology,KSUS0,2015-11-01,2017-03-01
22,63134,38.7435,-90.3409,Saint Louis,MO,Saint Louis,Express Scripts 6 - Tenant Finish ,KSET0,2013-11-01,2015-01-01
23,53548,42.6843,-89.0752,Janesville,WI,Rock,10102365_Dollar General Janesville_Field1.0,KJVL0,2015-11-13,2016-11-25
24,98848,47.1822,-119.754,Quincy,WA,Grant,10103668 - MWH04 05 Field 1.0,72790,2018-08-01,2020-03-02
25,60410,41.4331,-88.1992,Channahon,IL,Will,10102992-Project_Crossroads,72013,2017-05-01,2018-04-30
26,37321,35.5564,-84.9792,Dayton,TN,Rhea,10103436 - Project Dayton Field1.0,KMMI0,2017-11-13,2019-11-13
27,63114,38.7023,-90.3644,Saint Louis,MO,Saint Louis,308 E Green Street,KCPS0,1915-01-01,2015-01-01
28,60069,42.3091,-87.9872,Lincolnshire,IL,Lake,3M DK6 - Project Black Bear,KUGN0,2015-06-09,2015-01-01
29,63017,38.6491,-90.5357,Chesterfield,MO,Saint Louis,Mercy - Virtual Care Center,KSUS0,2014-01-01,2015-01-01
30,60449,41.4123,-87.7866,Monee,IL,Will,Project B_Monee MDW7,KIGQ0,2016-07-01,2017-08-01
31,61820,40.1018,-88.1972,Champaign,IL,Champaign,10102939 - Memorial Stadium JV,KCMI0,2017-03-01,2019-03-01
32,65804,37.1514,-93.238,Springfield,MO,Greene,00000_Mercy_Hospital_Springfield_Pharmacy,72440,2019-05-16,2020-05-16
33,60601,41.8119,-87.6872,Chicago,IL,Cook,Clacyo 15th Floor,72534,2018-09-18,2019-05-03
34,63114,38.7023,-90.3644,Saint Louis,MO,Saint Louis,Clayco_St. Louis Office,KCPS0,2019-02-21,2021-02-23
35,60612,41.8119,-87.6872,Chicago,IL,Cook,10102045_Central Campus Health Center,72534,2015-11-30,2018-05-30
36,30263,33.3696,-84.8194,Newnan,GA,Coweta,10104980 - Bridgeport Amazon TI,KCCO0,2020-01-27,2020-08-01
37,25442,39.3716,-77.8229,Shenandoah Junction,WV,Jefferson,10103177 - Rockwool Ran5,KMRB0,2018-09-03,2020-04-10
38,63132,38.6746,-90.3747,Saint Louis,MO,Saint Louis,10104560 - EDGE @ BRDG,KCPS0,2019-04-09,2020-05-07
39,30529,34.1697,-83.5707,Commerce,GA,Jackson,10104563 - SKBA  Phase 1,K19A0,2019-05-01,2021-05-01
40,35806,34.7618,-86.687,Huntsville,AL,Madison,10104349 - Blue Engine,72323,2018-12-01,2019-12-19
41,23219,37.5417,-77.4392,Richmond,VA,Richmond City,10102550-Dominion_Workplace_Tower_1,72401,2016-01-12,2019-01-31
42,83687,43.6023,-116.553,Nampa,ID,Canyon,10104094 - Project_Bronco,KMAN0,2018-08-10,2019-06-30
43,60647,41.8119,-87.6872,Chicago,IL,Cook,10102646-1980_N._Milwaukee,72534,2017-06-01,2018-06-01
44,21219,39.2296,-76.4455,Sparrows Point,MD,Baltimore,10103063_DCA1 Project Blue Jay,KMTN0,2017-10-01,2018-09-03
45,75087,32.8978,-96.4271,Rockwall,TX,Rockwall,10103049-Lollicup,KF460,2018-03-21,2018-09-26
46,85338,33.2765,-112.187,Goodyear,AZ,Maricopa,10103340_Chewy,72278,2017-09-15,2018-05-29
47,63017,38.6491,-90.5357,Chesterfield,MO,Saint Louis,10102666_Pfizer 2.0,KSUS0,2017-05-01,2019-04-30
48,16802,40.7997,-77.8623,University Park,PA,Centre,Penn State East Halls Phase 2B,KUNV0,2020-05-11,2021-08-15
49,98327,47.0909,-122.657,Dupont,WA,Pierce,10103550 - DuPont Building B (Spec 2),74207,2019-08-23,2020-06-01
50,30263,33.3696,-84.8194,Newnan,GA,Coweta,101012358 - Bridgeport Building B,KCCO0,2020-01-06,2020-08-02
51,29536,34.4222,-79.3413,Dillon,SC,Dillon,10102710-Harbor_Freight_Tools,KMAO0,2017-10-16,2018-11-02
52,60601,41.8119,-87.6872,Chicago,IL,Cook,Clayco_BIM360_Training,72534,2016-03-14,2018-03-02
53,17406,40.0046,-76.5947,York,PA,York,10104576 - Emig Road,72399,2019-05-16,2020-05-18
54,64153,39.2705,-94.7416,Kansas City,MO,Platte,10102647-CVS_Midwest_DC,72441,2016-12-01,2018-07-02
55,53158,42.5293,-87.8854,Pleasant Prairie,WI,Kenosha,10103376 - Blue Point,KENW0,2018-12-13,2018-12-14
56,29651,34.9623,-82.3301,Greer,SC,Greenville,10104688 - Inland 85 Building C,KGMU0,2019-10-01,2020-03-27
57,16801,40.8819,-77.8678,State College,PA,Centre,10102850 - Penn State East Halls Phase 1C,KUNV0,2017-10-18,2019-08-22
58,63108,38.6448,-90.252,Saint Louis,MO,Saint Louis City,10102590 - One Hundred Kingshighway,KCPS0,2017-07-18,2020-07-19
59,61820,40.1018,-88.1972,Champaign,IL,Champaign,10102480 - UIUC Design Center 2,KCMI0,2018-06-29,2020-06-01
60,48342,42.6942,-83.2885,Pontiac,MI,Oakland,10104895 - Amazon G4.5 Pontiac MI,KPTK0,2019-10-21,2021-06-15
61,98327,47.0909,-122.657,Dupont,WA,Pierce,10103549 - Dupont Building A,74207,2018-10-09,2019-06-10
62,72701,35.9746,-94.191,Fayetteville,AR,Washington,BF0104663 - Project Wolfspeed,KFYV0,2019-04-01,2019-11-30
63,63105,38.6459,-90.3264,Saint Louis,MO,Saint Louis,10104960 - Centene Carondelet Lobby Remodel,KCPS0,2019-11-01,2020-05-01
64,63110,38.6254,-90.2681,Saint Louis,MO,Saint Louis City,10104699 - WUSM Couch Lab Building - 1st Floor Buildout,KCPS0,2019-07-01,2020-08-03
65,60446,41.6404,-88.0695,Romeoville,IL,Will,10103123_Interchange 55 Logistics Park,KLOT0,2018-03-01,2019-02-22
66,46168,39.7299,-86.4234,Plainfield,IN,Hendricks,10103252-Kohl's EFC5 Interior Renovations,KEYE0,2018-09-24,2019-08-05
67,60604,41.8119,-87.6872,Chicago,IL,Cook,10103524 - 175 West Jackson,72534,2018-11-01,2019-10-31
68,63134,38.7435,-90.3409,Saint Louis,MO,Saint Louis,10103250-SKF_Expansion,KSET0,2018-05-01,2018-10-01
69,60410,41.4331,-88.1992,Channahon,IL,Will,10104732 - Tarpon 3.0 at Cross Roads 55,72013,2019-09-17,2020-08-30
70,63132,38.6746,-90.3747,Saint Louis,MO,Saint Louis,10104741 - Benson Hill Tenant Build Out,KCPS0,2019-07-01,2020-05-01
71,63105,38.6459,-90.3264,Saint Louis,MO,Saint Louis,10103342_CENTENE U-ECE CENTER,KCPS0,2018-06-25,2019-04-01
72,45377,39.889,-84.2422,Vandalia,OH,Montgomery,10104412_Project_Cayman,72429,2018-12-03,2019-06-17
73,61109,42.1967,-89.0655,Rockford,IL,Winnebago,10103519-Project_Quickstart,72543,2018-06-04,2020-02-13
74,91406,33.7866,-118.299,Van Nuys,CA,Los Angeles,10102774 - Jet Aviation,KTOA0,2019-03-04,2019-07-19
75,60605,41.8119,-87.6872,Chicago,IL,Cook,BW_Hackathon_2019,72534,2019-10-04,2019-10-07
76,75605,32.5057,-94.7188,Longview,TX,Gregg,10103445-Dollar_General_Longview,72247,2018-11-27,2019-01-01
77,92651,33.5209,-117.741,Laguna Beach,CA,Orange,10104069-Project_Cherry,69014,2018-09-04,2019-08-15
78,48342,42.6942,-83.2885,Pontiac,MI,Oakland,10104894 - Amazon AMZL Pontiac MI,KPTK0,2019-10-21,2020-07-30
79,63114,38.7023,-90.3644,Saint Louis,MO,Saint Louis,VDC-Testing Ground,KCPS0,1915-01-01,2015-01-01
80,37321,35.5564,-84.9792,Dayton,TN,Rhea,10103436 - Project Dayton Field2.0,KMMI0,2017-11-13,2019-11-13
81,43062,40.0149,-82.6243,Pataskala,OH,Licking,10103738 - Kohl's Project 66,KVTA0,2018-08-06,2019-04-15
82,63105,38.6459,-90.3264,Saint Louis,MO,Saint Louis,10103730 - Centene Hanley Tower TI,KCPS0,2018-11-20,2019-11-20
83,37309,35.3228,-84.7364,Calhoun,TN,Mcminn,10103287-Resolute_Forest_Products,KRZR0,2017-12-15,2018-08-01
84,60602,41.8119,-87.6872,Chicago,IL,Cook,10103255 - Macy's Chicago,72534,2018-06-18,2019-12-01
85,60607,41.9289,-87.8138,Chicago,IL,Cook,10103648 - 215 Peoria,72530,2018-10-29,2019-10-31
86,16802,40.7997,-77.8623,University Park,PA,Centre,10103714 - PSU West Campus Garage,KUNV0,2018-09-05,2019-12-31
87,57108,43.5504,-96.6969,Sioux Falls,SD,Minnehaha,10103283-CITI_Sioux_Falls,72651,2017-11-01,2019-06-27
88,29334,34.9354,-81.9925,Duncan,SC,Spartanburg,10103308 - Inland 85 Building A,KSPA0,2018-08-09,2018-12-31
89,44128,41.4394,-81.5339,Cleveland,OH,Cuyahoga,10103191-Project_Goliath,KCGF0,2017-08-21,2018-08-21
90,36615,30.6411,-88.0622,Mobile,AL,Mobile,10102922-Blue_Marlin,KBFM0,2018-01-22,2018-11-12
91,60606,41.8119,-87.6872,Chicago,IL,Cook,10102675-Willis Tower Repositioning,72534,2017-02-01,2020-01-01
92,37421,35.0405,-85.1538,Chattanooga,TN,Hamilton,10104583_Volkswagen,72324,2019-09-01,2020-10-01
93,30303,33.7525,-84.392,Atlanta,GA,Fulton,10102944 - SCAD Atlanta,KFTY0,2017-10-04,2017-12-31
94,63114,38.7023,-90.3644,Saint Louis,MO,Saint Louis,LJC Training Project,KCPS0,2018-12-05,2019-12-31
95,63113,38.6301,-90.2532,Saint Louis,MO,Saint Louis City,BIM360_VDC-Helpdesk_2018,KCPS0,2017-08-11,2018-08-01
96,95837,38.6929,-121.603,Sacramento,CA,Sacramento,10104833 - Project First Base,KSMF0,2019-09-30,2020-05-25
97,53158,42.5293,-87.8854,Pleasant Prairie,WI,Kenosha,10104797 - Bluepoint Offsite Work,KENW0,2019-10-04,2020-07-01
98,98327,47.0909,-122.657,Dupont,WA,Pierce,10104681 - DuPont Kimberly Clark TI,74207,2019-07-01,2019-12-31
99,18403,41.4876,-75.5334,Archbald,PA,Lackawanna,10104676 - Archbald,KMPO0,2019-08-12,2020-05-29
100,98516,47.1126,-122.779,Olympia,WA,Thurston,10104658 - Hawks Prairie Building 1,74207,2019-06-17,2020-06-01
101,8056,39.7879,-75.2467,Mickleton,NJ,Gloucester,10104487 - Harmony Road,72408,2019-09-16,2020-05-20
102,8056,39.7879,-75.2467,Mickleton,NJ,Gloucester,10104480 - Huff Road,72408,2019-09-30,2020-05-15
103,98848,47.1822,-119.754,Quincy,WA,Grant,10104627 Quincy MWH06,72790,2019-08-15,2020-08-25
104,66030,38.815,-94.9414,Gardner,KS,Johnson,10104465 - Inland Port VII,72447,2019-09-30,2020-05-01
105,35808,34.6776,-86.6121,Huntsville,AL,Madison,10104747 - MSFC Engine Test Facility,74001,2019-07-07,2021-03-31
106,60601,41.8119,-87.6872,Chicago,IL,Cook,10104379 - Clayco Chicago Office Updates,72534,2019-07-11,2020-07-11
107,45377,39.889,-84.2422,Vandalia,OH,Montgomery,10104224-Chewy,72429,2018-10-01,2019-08-01
108,28146,35.6187,-80.4021,Salisbury,NC,Rowan,10104186 - Project Kodiak,KRUQ0,2019-06-17,2020-03-20
