,Unnamed: 0,zip,latitude,longitude,city,state,county,name,Weather_Stations,Start_date,End_date,AVG_TEMP,AVG_MIN_TEMP,AVG_MAX_TEMP,AVG_PRECIPITATION
0,0,35111,33.2997,-87.0489,Mc Calla,AL,Jefferson,Gestamp,KEKY0,2016-08-01,2016-12-30,19.308333333333334,13.816666666666666,25.37685185185185,0.0
1,1,16801,40.8819,-77.8678,State College,PA,Centre,10101855 - Penn State East Halls Phase 1A,KUNV0,2016-01-01,2017-08-14,12.490035587188611,7.417081850533807,17.633807829181496,0.0
2,2,63117,38.6295,-90.3342,Saint Louis,MO,Saint Louis,First Community CU,KCPS0,2013-05-01,2015-01-01,14.028951747088186,8.653910149750416,19.602662229617305,0.21713810316139767
3,3,23219,37.5417,-77.4392,Richmond,VA,Richmond City,Gateway Plaza,72401,2013-07-01,2015-01-01,15.679454545454545,10.186,21.516545454545454,2.9607272727272727
4,4,48103,42.2666,-83.84899999999999,Ann Arbor,MI,Washtenaw,618 S. Main Street,KARB0,2013-05-01,2015-01-01,9.911390284757118,4.0601340033500835,15.249916247906198,0.24187604690117254
5,5,63114,38.7023,-90.3644,Saint Louis,MO,Saint Louis,017-VDC-BIM360_FIELD_TRAINING,KCPS0,2017-03-15,2027-03-15,13.848120989917508,8.602291475710357,19.372043996333637,0.2381301558203483
6,6,63134,38.7435,-90.3409,Saint Louis,MO,Saint Louis,10102537-MHS Hangar Facility,KSET0,2017-07-18,2018-05-18,11.295348837209302,5.642857142857143,17.132225913621262,0.28239202657807305
7,7,61820,40.1018,-88.1972,Champaign,IL,Champaign,State Farm Center,KCMI0,2013-11-01,2015-01-01,8.253554502369669,3.2971563981042653,13.276777251184834,0.21824644549763034
8,8,60045,42.24,-87.8776,Lake Forest,IL,Lake,606-03533-Horizon_Pharma,KPWK0,2019-05-07,2020-05-07,11.068181818181818,6.817575757575757,15.371212121212121,0.2087878787878788
9,9,63114,38.7023,-90.3644,Saint Louis,MO,Saint Louis,UCM Campus West Garage,KCPS0,2012-02-20,2015-01-01,13.963556851311953,8.471137026239067,19.663751214771622,0.2949465500485909
10,10,63110,38.6254,-90.2681,Saint Louis,MO,Saint Louis City,Wash U 4515 Mckinley Research Building,KCPS0,2013-06-01,2015-01-01,13.76421052631579,8.393333333333333,19.359298245614035,0.22894736842105262
11,11,63112,38.6639,-90.2818,Saint Louis,MO,Saint Louis City,6105 Delmar Apartments,KCPS0,2016-03-31,2017-07-15,16.75301724137931,11.393318965517242,22.24353448275862,0.24418103448275863
12,12,63110,38.6254,-90.2681,Saint Louis,MO,Saint Louis City,WUSM Mid Campus Center (MCC),KCPS0,2015-05-01,2015-01-01,16.75301724137931,11.393318965517242,22.24353448275862,0.24418103448275863
13,13,63130,38.6669,-90.3225,Saint Louis,MO,Saint Louis,10102684-Centene_Campus,KCPS0,2016-03-01,2018-03-01,15.052374301675977,9.54413407821229,20.714385474860336,0.20307262569832402
14,14,12010,42.9063,-74.229,Amsterdam,NY,Montgomery,10102389 - Dollar General NY,KNY00,2017-04-03,2018-07-02,15.052374301675977,9.54413407821229,20.714385474860336,0.20307262569832402
15,15,63110,38.6254,-90.2681,Saint Louis,MO,Saint Louis City,WUSM EH&S Building ,KCPS0,2014-05-05,2015-01-01,16.915966386554622,11.814705882352941,22.257563025210086,0.30546218487394955
16,16,18706,41.2313,-75.8961,Wilkes Barre,PA,Luzerne,10102881_Hanover Building 1,KHZL0,2016-10-15,2017-05-15,16.915966386554622,11.814705882352941,22.257563025210086,0.30546218487394955
17,17,29369,34.9701,-82.0273,Moore,SC,Spartanburg,SC Project (Toray),KSPA0,2015-08-10,2015-01-01,16.915966386554622,11.814705882352941,22.257563025210086,0.30546218487394955
18,18,63014,38.6327,-91.3214,Berger,MO,Franklin,RGA,KFYG0,2013-02-15,2015-01-01,16.915966386554622,11.814705882352941,22.257563025210086,0.30546218487394955
19,19,44128,41.4394,-81.5339,Cleveland,OH,Cuyahoga,10103191-Project Goliath,KCGF0,2017-08-21,2018-08-21,16.915966386554622,11.814705882352941,22.257563025210086,0.30546218487394955
20,20,63131,38.6171,-90.4504,Saint Louis,MO,Saint Louis,BJC MBMC MOB,KSUS0,2012-05-01,2015-01-01,13.574166666666667,7.759479166666667,19.521041666666665,0.22875
21,21,63043,38.7239,-90.4474,Maryland Heights,MO,Saint Louis,World Wide Technology,KSUS0,2015-11-01,2017-03-01,12.434388185654008,6.95337552742616,18.015822784810126,0.3284810126582278
22,22,63134,38.7435,-90.3409,Saint Louis,MO,Saint Louis,Express Scripts 6 - Tenant Finish ,KSET0,2013-11-01,2015-01-01,10.345432692307693,5.191826923076923,15.822596153846154,1.528125
23,23,53548,42.6843,-89.0752,Janesville,WI,Rock,10102365_Dollar General Janesville_Field1.0,KJVL0,2015-11-13,2016-11-25,10.345432692307693,5.191826923076923,15.822596153846154,1.528125
24,24,98848,47.1822,-119.75399999999999,Quincy,WA,Grant,10103668 - MWH04 05 Field 1.0,72790,2018-08-01,2020-03-02,9.858549222797928,3.8689119170984454,15.39706390328152,0.4096718480138169
25,25,60410,41.4331,-88.1992,Channahon,IL,Will,10102992-Project_Crossroads,72013,2017-05-01,2018-04-30,9.962146892655367,4.610734463276836,15.26497175141243,0.0
26,26,37321,35.5564,-84.9792,Dayton,TN,Rhea,10103436 - Project Dayton Field1.0,KMMI0,2017-11-13,2019-11-13,9.962146892655367,4.610734463276836,15.26497175141243,0.0
27,27,63114,38.7023,-90.3644,Saint Louis,MO,Saint Louis,308 E Green Street,KCPS0,1915-01-01,2015-01-01,13.383741855414211,8.042631089047472,18.937046230220293,0.2792429413589823
28,28,60069,42.3091,-87.9872,Lincolnshire,IL,Lake,3M DK6 - Project Black Bear,KUGN0,2015-06-09,2015-01-01,13.383741855414211,8.042631089047472,18.937046230220293,0.2792429413589823
29,29,63017,38.6491,-90.5357,Chesterfield,MO,Saint Louis,Mercy - Virtual Care Center,KSUS0,2014-01-01,2015-01-01,11.827298050139277,6.254038997214485,17.450696378830084,0.30473537604456824
