,id,bim360_account_id,name,trade,category,address_line1,address_line2,city,state_or_province,postal_code,country,phone,website_url,description,erp_id,tax_id,status,created_at,project_size,user_size,custom_properties
0,210b3a61-4067-46f4-bcec-b7a2f32cf4a0,49df69ab-c266-4d49-951c-031b16f7a31f,removed at 2019-09-04 18:25:34 UTC ad811597-a356-40a3-8e27-e3d141034953,,,,,,,,US,,,,,,deleted,2019-07-11 20:47:39.015768,,,
1,9178147b-ae2c-4a4f-814e-c5fe6b64f9d1,49df69ab-c266-4d49-951c-031b16f7a31f,Washington University,,Owner,,,,,,US,,,,,,,2015-08-27 02:31:08.786068,4.0,1.0,
2,02a23d7c-69f1-47a6-9a59-cf968b5cca32,49df69ab-c266-4d49-951c-031b16f7a31f,Ultra,,,,,,,,US,,,,,,,2019-06-24 13:54:17.880768,,,
3,5c9d26ee-da63-4394-b0db-ab785ce4bef2,49df69ab-c266-4d49-951c-031b16f7a31f,BECK Technology,Communications,sub contractor,,,,,,US,,,,,,,2018-01-29 14:20:06.260714,1.0,2.0,
4,a21d9314-6529-4674-abdb-4bbde6889877,49df69ab-c266-4d49-951c-031b16f7a31f,Inventory Sales,Other,Subcontractor,9777 Reavis Road,,St. Louis,MO,63123,US,314-776-6200,,Inventory Sales,,,,2015-08-27 02:38:58.706688,5.0,0.0,
5,f8d8a5e0-ba3e-44a8-8698-a6402deaddc1,49df69ab-c266-4d49-951c-031b16f7a31f,Leonard Masonry,Other,Subcontractor,,,,,,US,,,,,,,2015-08-27 02:32:18.430023,10.0,0.0,
6,8e275c84-b4c1-4afa-8000-fc642ac56e66,49df69ab-c266-4d49-951c-031b16f7a31f,Allied Industrial Equipment,,,,,,,,US,,,,,,,2016-02-19 22:14:34.452449,2.0,0.0,
7,0f7c8d02-cf0c-4c67-9a00-b5eb689afd91,49df69ab-c266-4d49-951c-031b16f7a31f,XPO Logistics,,,,,,,,US,,,,,,,2015-09-02 19:25:05.960869,1.0,0.0,
8,26adb6e7-59b5-4d9d-aed1-17fbe702c98b,49df69ab-c266-4d49-951c-031b16f7a31f,Marks & Associates,Other,Subcontractor,,,,,,US,,,,,,,2015-08-27 02:35:15.920821,2.0,0.0,
9,cd7e868b-ef05-434e-8860-6a4c51387a0a,49df69ab-c266-4d49-951c-031b16f7a31f,TSI-Global,Other,Subcontractor,700 Fountain Lakes Blvd.,,St. Charles,MO,63301,US,6369498889,,,,,,2015-08-27 02:32:11.53478,1.0,0.0,
10,84040ae4-445f-4566-a828-b3fb97d75c69,49df69ab-c266-4d49-951c-031b16f7a31f,clayco oper,,,,,,,,US,,,,,,,2019-10-15 17:11:42.618856,,,
11,9d1255e6-5c86-477f-ade0-993370f9d810,49df69ab-c266-4d49-951c-031b16f7a31f,Stover Excavating Inc.,,,"7500 Industrial Parkway Plain City, Ohio 43064",,,,,US,(614) 873-5865,,,,,,2016-02-25 17:03:33.506007,1.0,0.0,
12,e45a4340-b230-4e65-8326-633d425384de,49df69ab-c266-4d49-951c-031b16f7a31f,removed at 2017-06-29 18:21:13 UTC 293ed923-1ed0-451a-a359-479c16c26658,,,"3400 Jackson Pike, Grove City, OH 43123",,,,,US,(614) 875-8601,,,,,deleted,2016-02-25 17:05:37.694654,0.0,0.0,
13,cbf39fa3-2584-416b-9c6a-c3ebfbb3dee6,49df69ab-c266-4d49-951c-031b16f7a31f,The Superior Group,,,"740 Waterman Ave, Columbus, OH 43215",,,,,US,(614) 488-8025,,,,,,2016-02-25 17:07:35.703919,2.0,0.0,
14,42f507cb-ab92-4217-9e60-419cadea3a43,49df69ab-c266-4d49-951c-031b16f7a31f,Speer Mechanical,,,"5255 Sinclair Rd, Columbus, OH 43229",,,,,US,(614) 261-6331,,,,,,2016-02-25 17:08:14.465985,1.0,0.0,
15,448c6990-fb43-44d0-906f-04fa85811b90,49df69ab-c266-4d49-951c-031b16f7a31f,Newcomer Concrete Services Inc.,,,"Powell, OH",,,,,US,614-792-1105,,,,,,2016-02-25 17:15:42.463695,1.0,0.0,
16,37708b8d-ba4e-496e-8908-812faa43c0b8,49df69ab-c266-4d49-951c-031b16f7a31f,Clayco TAG,,,,,,,,US,,,,,,,2019-10-07 13:26:16.961981,7.0,9.0,
17,656e18c0-6617-4485-8eb3-341e35a7c497,49df69ab-c266-4d49-951c-031b16f7a31f,removed at 2018-06-26 16:06:31 UTC 2cc2cd68-6e5a-4838-b2a5-5d51f0995ff6,,,,,,,,US,,,,,,deleted,2016-02-23 18:38:58.026122,1.0,0.0,
18,002d69a6-f96f-414f-b0af-da3d03281cfa,49df69ab-c266-4d49-951c-031b16f7a31f,Forum Studio,,Architect,,,,,,US,,,,,,,2015-08-27 02:29:23.940032,23.0,1.0,
19,e1bc2f91-516b-46b6-8cc0-2980ca27823d,49df69ab-c266-4d49-951c-031b16f7a31f,Silikal,,,,,,,,US,,,,,,,2017-05-24 13:49:06.734562,1.0,0.0,
20,139a2abe-3820-4b86-ab99-7521da86192c,49df69ab-c266-4d49-951c-031b16f7a31f,Stanley Access Technologies,,,,,,,,US,,,,,,,2019-03-18 13:34:46.645177,1.0,1.0,
21,1fa47be2-99ae-42b1-995d-9f6b72639169,49df69ab-c266-4d49-951c-031b16f7a31f,removed at 2019-09-04 18:25:23 UTC 0bdd129b-b870-4147-b987-5f0fde106316,,,,,,,,US,,,,,,deleted,2019-01-07 16:07:16.2999,,,
22,e671b7ab-eea6-4b2d-ab29-7c0be5bbd26a,49df69ab-c266-4d49-951c-031b16f7a31f,Republic Refrigeration,Other,Subcontractor,,,,,,US,,,,,,,2015-08-27 02:38:42.930556,2.0,0.0,
23,add8ccc6-e5d2-44ad-a5c6-91c84bdb8254,49df69ab-c266-4d49-951c-031b16f7a31f,Giroux Glass,,,,,,,,US,,,,,,,2019-03-18 13:39:04.346644,1.0,2.0,
24,ec1eaf41-c36c-4161-a6b4-c152a8b52345,49df69ab-c266-4d49-951c-031b16f7a31f,KC Coring & Cutting,Other,Subcontractor,,,,,,US,,,,,,,2017-05-16 22:10:41.268942,3.0,0.0,
25,11482b3c-6a92-4ff8-b217-f6a5de40bb20,49df69ab-c266-4d49-951c-031b16f7a31f,Golden State Foods Corp,,Owner,Conyers,GA,30013,USA,,US,,,,,,,2016-05-21 17:27:31.93241,2.0,0.0,
26,6d56f66a-37a2-46f1-8688-bb8d0408630f,49df69ab-c266-4d49-951c-031b16f7a31f,Thinc Design,,,,,,,,US,,,,,,,2019-01-10 15:59:42.58539,1.0,1.0,
27,b3cf35d0-c6ad-434b-933c-d9b8b9bd8a7e,49df69ab-c266-4d49-951c-031b16f7a31f,removed at 2019-01-23 16:15:36 UTC 811e9764-3bb8-4141-9b83-02cd0b055906,,,,,,,,US,,,,,,deleted,2019-01-23 16:12:31.066819,,,
28,e6b4a52a-8be0-4293-8324-2a13094e2333,49df69ab-c266-4d49-951c-031b16f7a31f,removed at 2019-09-04 18:30:58 UTC c64f1604-e0c9-4e77-8657-2c3e3b6e0df9,,,,,,,,US,,,,,,deleted,2019-07-30 17:21:49.125095,,,
29,74a76e21-ab6a-4d21-b446-74db8d8ef735,49df69ab-c266-4d49-951c-031b16f7a31f,Focal Pointe,,,,,,,,US,,,,,,,2019-12-11 15:23:15.561955,1.0,0.0,
30,392887bc-eb19-40cf-8684-50e403850b36,49df69ab-c266-4d49-951c-031b16f7a31f,Wies,Drywall,Subcontractor,11767 Lackland Road,,St. Louis,MO,63146,US,314-432-5040,,,,,,2015-08-27 02:31:32.071271,1.0,0.0,
31,c4536be2-c734-415f-9e62-ad44a200f8cd,49df69ab-c266-4d49-951c-031b16f7a31f,Tymor Consulting,,,,,,,,US,,,,,,,2019-01-04 17:31:28.5981,1.0,1.0,
32,61a776b7-509c-4aea-991c-8c6c970c3487,49df69ab-c266-4d49-951c-031b16f7a31f,BJC Planning Design and Construction,Other,Other,,,,,,US,,,,,,,2015-08-27 02:30:45.44415,4.0,0.0,
33,5c1264d6-9f31-40af-a24a-e414b3baffc2,49df69ab-c266-4d49-951c-031b16f7a31f,BJC,,Owner,,,,,,US,,,,,,,2015-08-27 02:31:26.956001,4.0,1.0,
34,eec9f8f1-527e-46ff-b875-ba7572d297cd,49df69ab-c266-4d49-951c-031b16f7a31f,JNE Consulting,,,,,,,,US,,,,,,,2019-09-11 17:42:52.477058,1.0,2.0,
