hq_identifier,business_unit,project_id,name,status,files,issues,checklists,equipment,tasks,dailyUpdates,photos,users
01fa4f3a-9969-4069-a5b3-72fb630a0143,"Clayco>Distribution, Manufacturing, Process, Food & Beverage",6fbfddc0-b8bb-4b27-be7f-751a21c701d0,Gestamp,active,177,476,0,0,0,0,1023,40
8c8a470e-1b26-4f53-bf17-a0c32062fe74,Clayco>Education,b601ea1e-e082-462e-bbfb-838450b44efb,10101855 - Penn State East Halls Phase 1A,active,2035,6011,0,0,0,0,14386,100
84e0f791-8c6e-4443-bf72-7bc0ec3dd40a,,9523dc7d-b408-11e2-a4be-02cc3afa57bd,First Community CU,active,201,110,0,0,0,0,291,37
435781fa-a6bb-416d-a487-4a4c992adfc6,Clayco>Corporate,d66afec4-f888-11e2-89a6-02cc3afa57bd,Gateway Plaza,active,506,1197,0,0,0,0,2691,36
57e80e5a-fb66-4211-bf2d-2565f249b5d5,Clayco>Corporate,c7752bf4-7b7a-11e2-803e-1231392eb1f5,618 S. Main Street,active,335,1567,0,0,0,0,2928,23
d85bd801-8c58-4e09-966c-5eaf9551de31,Clayco>Corporate,f8647412-84d0-44b5-950d-26b565667cfd,017-VDC-BIM360_FIELD_TRAINING,active,65,112,0,0,0,0,33,47
01bd0c09-3621-405e-897a-6bd193526144,Clayco>Corporate,238d5c6c-da0e-4385-b046-877162fa99f8,10102537-MHS Hangar Facility,active,66,154,0,0,0,0,193,28
4f1b958c-13fc-47d3-b9c7-7ebb2e417c28,"Clayco>Life Sciences, Sports, Healthcare, and Government",078adaf7-62a4-11e3-8afd-02cc3afa57bd,State Farm Center,active,2176,7509,0,0,0,0,13914,56
406a2411-e1e4-46d7-9196-1ef3e5cd86f0,Clayco>VDC,7121a18b-ac39-4bcc-a588-7c7f8986060a,606-03533-Horizon_Pharma,active,30,246,0,0,0,0,251,37
dc5185e7-f10b-47f4-b540-73c0f5d32c5c,Clayco>Corporate,f9503d7e-c9d4-11e1-870f-1231392eb1f5,UCM Campus West Garage,active,575,2051,0,0,0,0,5750,31
b5409531-0578-459a-a158-6402513c519c,Clayco>Education,56504adf-d819-11e2-89a6-02cc3afa57bd,Wash U 4515 Mckinley Research Building,active,856,7358,0,0,0,0,8876,69
c4758dd1-a03c-45ee-ba0a-075691469d56,Clayco>Corporate,c2c67151-5309-4ba8-aa80-33e0dd3dd713,6105 Delmar Apartments,active,412,2921,0,0,0,0,2295,59
5a7ade0f-818d-4a2d-bee9-7e7115b2e7dd,"Clayco>Life Sciences, Sports, Healthcare, and Government",3769b603-c8d1-416c-ae59-f5b7fdb27458,WUSM Mid Campus Center (MCC),active,574,12736,0,0,0,0,22301,60
8ac049b7-7894-4481-9bf9-12e488dc78a9,Clayco>Corporate,ca17c649-07fc-45f3-b260-28a5cd3a1929,10102684-Centene_Campus,active,2354,628,0,0,0,0,1190,116
6a21c043-6c89-4e3b-91a4-764b86661326,Clayco>Industrial,78a9edfa-0cbf-4e45-af03-5ae808f762ea,10102389 - Dollar General NY,active,567,1059,0,0,0,0,2237,98
d6c662df-910d-4263-9390-71b0de815cfc,Clayco>Education,225cc23a-d60d-11e3-bc40-065504f89afb,WUSM EH&S Building ,active,303,97,0,0,0,0,1188,28
d55ad027-e925-4b41-9cb5-1ba16884ab07,"Clayco>Distribution, Manufacturing, Process, Food & Beverage",47110b1e-74c1-443f-a3a3-25a849da65b6,10102881_Hanover Building 1,active,203,226,0,0,0,0,789,41
3fe43143-9e2a-4df8-b011-5856a85ae1b4,"Clayco>Distribution, Manufacturing, Process, Food & Beverage",31a00d40-f62d-11e3-9511-027465b920a7,SC Project (Toray),active,1028,873,0,0,0,0,1758,32
bfc9131d-456d-4ce0-a6e7-e9e8cabcf1bc,Clayco>Corporate,6393846f-1926-4e8c-b8c0-fcdce430c9aa,10102489-OGE OPERATING CENTER,active,36,577,0,0,0,0,1010,21
4beceec8-2dc3-45a0-aff6-e91ce38fadfc,,08554c92-3a28-11e2-8804-1231392eb1f5,RGA,active,810,3491,0,0,0,0,3297,51
88b01eef-f808-4262-ab35-662987d66e8f,Clayco>Corporate,b9b0f889-4343-445e-8df1-a7ba1c441e02,10103191-Project Goliath,active,7306,1039,0,0,0,0,1824,52
8e4c0109-dfa3-45c6-85b1-b89e54a0361c,,31a28940-2a87-11e1-af3c-1231390b71c2,BJC MBMC MOB,active,342,427,0,0,0,0,6982,23
574a2e10-a099-4f99-bbac-b332c093d112,,46120276-ad90-11e0-a3af-1231390b71c2,Amazon Cleveland CHA-2,active,222,935,0,0,0,0,146,2
e9557ed9-bffd-46ab-a98d-3c05b7f84cb5,"Clayco>Life Sciences, Sports, Healthcare, and Government",5bd474af-c0f6-4ee8-8c37-30ac1cf7b957,10102666_Pfizer,active,2056,6644,0,0,0,0,22633,137
99a9954c-04dd-4f46-b1f5-9c6f18e76969,Clayco>Corporate,87805e34-9e01-45b4-839b-253d2e75d6dc,World Wide Technology,active,877,1137,0,0,0,0,2942,66
67bd4eb0-85dc-4e74-b016-0da8c481299f,Clayco,86c4de5d-3ca9-4fa8-8e4f-1606fd97be18,130_SOUTH_TOWER_SCAN,active,160,120,0,0,0,0,107,11
ef250378-f540-40c6-8f04-0c7b2e35a5b0,Clayco>Corporate,bd2ecb5b-34e6-11e3-89a6-02cc3afa57bd,Express Scripts 6 - Tenant Finish ,active,262,662,0,0,0,0,963,30
20bf342d-8865-4ab6-b9b9-f7c002590d80,"Clayco>Distribution, Manufacturing, Process, Food & Beverage",2f2371b1-0164-41e7-a519-da3cb117b39d,10102365_Dollar General Janesville_Field1.0,active,326,586,0,0,0,0,3914,43
3c07f72e-e31c-46b2-8327-60e01333cc97,Clayco>Corporate,a7cacc9b-0924-4530-8579-fd608a8fae47,10103668 - MWH04 05 Field 1.0,active,1149,2130,0,0,0,0,20928,129
9a4e3cf9-ee17-4250-96b2-565d41050b4f,"Clayco>Distribution, Manufacturing, Process, Food & Beverage",a7c42fc6-5d54-4f08-b82a-31cd2e481d2e,10102992-Project_Crossroads,active,279,146,0,0,0,0,1075,45
606514dd-3bc0-4fb9-8c80-1cb0fd942fdd,Clayco>Industrial,cf7d407e-da91-42cd-9eb4-c6b137489a2f,10103436 - Project Dayton Field1.0,active,15,3318,0,0,0,0,2998,87
c6f471dd-e43d-4435-97b5-6b4316cfc9e7,Clayco>Corporate,288d46a1-adb8-11e2-a4be-02cc3afa57bd,308 E Green Street,active,913,9176,0,0,0,0,14238,47
847675e4-ceff-4b39-b0fe-6dead5162a78,"Clayco>Distribution, Manufacturing, Process, Food & Beverage",de4cf78f-027a-4f90-9fdc-c828165aacb3,Project Ocean,active,123,356,0,0,0,0,2425,36
112e00c9-cd3b-43c7-8e43-ee7d834a16ad,"Clayco>Distribution, Manufacturing, Process, Food & Beverage",e416d4c8-144f-444f-be37-6a0f617e19a4,3M DK6 - Project Black Bear,active,366,690,0,0,0,0,1647,37
277f6cad-6299-463a-9100-f9e1386f21cc,"Clayco>Life Sciences, Sports, Healthcare, and Government",bcaeefbf-40c6-11e3-9177-02cc3afa57bd,Mercy - Virtual Care Center,active,1279,2234,0,0,0,0,15291,64
ce571e7b-a888-4b71-9ea9-56de16a7da81,"Clayco>Distribution, Manufacturing, Process, Food & Beverage",16d7bc31-32a2-4833-af04-1b8aeffbf70a,Project B_Monee MDW7,active,588,1183,0,0,0,0,4864,42
7187b736-4a28-4dd2-b907-320061cc4690,Clayco>Education,a4bc1e07-0a93-47d7-8fbb-09b1f8763f57,10102608 - Penn State East Halls Phase 1B,active,2889,15303,0,0,0,0,23923,108
b3ed4fac-47bb-43fb-bdd3-3973af5cd19a,Clayco>Institutional,6f732c19-f797-4bc8-bfdd-d3ec7d0e5283,10102939 - Memorial Stadium JV,active,552,6120,0,0,0,0,15184,67
